model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,interval_score,covered
SARIMA,3,2003,7.78,7.28888124676328,5.8793521371992945,8.698410356327265,2.819058219127971,2.8191,True
SARIMA,4,2004,7.77,7.187498429304843,5.740640042006108,8.634356816603578,2.89371677459747,2.8937,True
SARIMA,1,2002,8.0,7.022393867336361,5.920903067306092,8.12388466736663,2.2029816000605376,2.203,True
SARIMA,2,2003,7.78,6.986987848525638,5.6940794183435655,8.27989627870771,2.5858168603641447,2.5858,True
SARIMA,3,2004,7.77,6.965226516701042,5.6070102796452685,8.323442753756815,2.7164324741115466,2.7164,True
SARIMA,4,2005,7.96,6.951851514972895,5.569767398520074,8.333935631425716,2.764168232905641,2.7642,True
SARIMA,1,2003,7.78,7.626724404317009,6.480482031348777,8.77296677728524,2.2924847459364637,2.2925,True
SARIMA,2,2004,7.77,7.396687193940622,6.050262537542647,8.743111850338597,2.69284931279595,2.6928,True
SARIMA,3,2005,7.96,7.254922988699916,5.839872787542684,8.66997318985715,2.830100402314465,2.8301,True
SARIMA,4,2006,8.03864910059748,7.167558471217523,5.7273018536669795,8.607815088768067,2.8805132351010876,2.8805,True
SARIMA,1,2004,7.77,7.505919504782265,6.3829677866739365,8.628871222890595,2.2459034362166586,2.2459,True
SARIMA,2,2005,7.96,7.3334229057254765,6.006580499122602,8.66026531232835,2.6536848132057482,2.6537,True
SARIMA,3,2006,8.03864910059748,7.224859628858509,5.825445883335966,8.624273374381051,2.7988274910450848,2.7988,True
SARIMA,4,2007,7.234262738177594,7.156533730559414,5.72939447941951,8.583672981699317,2.854278502279807,2.8543,True
SARIMA,1,2005,7.96,7.519038044964193,6.415014993243,8.623061096685387,2.2080461034423866,2.208,True
SARIMA,2,2006,8.03864910059748,7.357241272383763,6.043664312581884,8.670818232185642,2.6271539196037583,2.6272,True
SARIMA,3,2007,7.234262738177594,7.252929861462101,5.861506799549708,8.644352923374495,2.782846123824787,2.7828,True
SARIMA,4,2008,8.281402712725113,7.185679629736627,5.763152891079097,8.608206368394157,2.8450534773150604,2.8451,True
SARIMA,1,2006,8.03864910059748,7.674700635865217,6.580882945963975,8.76851832576646,2.187635379802485,2.1876,True
SARIMA,2,2007,7.234262738177594,7.484400787940326,6.169582247122677,8.799219328757976,2.629637081635299,2.6296,True
SARIMA,3,2008,8.281402712725113,7.3574673395253205,5.955475961444055,8.759458717606586,2.8039827561625312,2.804,True
SARIMA,4,2009,7.927665247495372,7.272800428320618,5.833721029462136,8.7118798271791,2.8781587977169636,2.8782,True
SARIMA,1,2007,7.234262738177594,7.7578258883459394,6.677518170941014,8.838133605750864,2.1606154348098494,2.1606,True
SARIMA,2,2008,8.281402712725113,7.5643746530600655,6.252548059425699,8.876201246694432,2.623653187268733,2.6237,True
SARIMA,3,2009,7.927665247495372,7.431111522375167,6.022671498270474,8.83955154647986,2.816880048209387,2.8169,True
SARIMA,4,2010,7.7,7.339310288985796,5.887270208347206,8.791350369624386,2.9040801612771796,2.9041,True
SARIMA,1,2008,8.281402712725113,7.18622526341216,6.107738663478363,8.264711863345957,2.1569731998675934,2.8246,False
SARIMA,2,2009,7.927665247495372,7.1546133324711665,5.863554660169996,8.445672004772337,2.5821173446023415,2.5821,True
SARIMA,3,2010,7.7,7.13381052835422,5.760871617175059,8.506749439533381,2.745877822358322,2.7459,True
SARIMA,4,2011,7.7,7.120120866057544,5.713201283997943,8.527040448117145,2.8138391641192015,2.8138,True
SARIMA,1,2009,7.927665247495372,7.908681125343815,6.778609808182171,9.038752442505459,2.2601426343232873,2.2601,True
SARIMA,2,2010,7.7,7.663391555823274,6.310558415389346,9.016224696257202,2.705666280867856,2.7057,True
SARIMA,3,2011,7.7,7.501965507661431,6.0633189174607125,8.94061209786215,2.8772931804014377,2.8773,True
SARIMA,4,2012,6.662665686341732,7.3957303788050135,5.921467235970063,8.869993521639964,2.9485262856699013,2.9485,True
SARIMA,1,2010,7.7,7.677909402968203,6.566908432189967,8.78891037374644,2.2220019415564725,2.222,True
SARIMA,2,2011,7.7,7.5130118429908785,6.181705212444917,8.844318473536841,2.6626132610919244,2.6626,True
SARIMA,3,2012,6.662665686341732,7.404140695899392,5.987482405743001,8.820798986055784,2.8333165803127836,2.8333,True
